Artist,Album,Type,Year,Physical,Digital,Discogs,Quantity,Date Aquired,Notes
Oral Bee,Alle Hater Oral Bee,CDS,2000,FALSE,FALSE,FALSE,,,
Oral Bee,Penger,CDS,2000,TRUE,FALSE,FALSE,,,
Oslo Fluid,Cycles of Life,CDS,2000,FALSE,FALSE,FALSE,,,
Oslo Fluid,Feel What I Feel,CDS,2000,FALSE,FALSE,FALSE,,,
Oslo Fluid,Feel What I Feel,CD,2000,FALSE,FALSE,FALSE,,,
Oslo Fluid,Cycles of Life,CDA,2000,TRUE,FALSE,FALSE,2,,
Oslo's Most Wanted,Cant Stop We,,2000,FALSE,FALSE,FALSE,,,
Pen Jakke,Østen,CD,2000,FALSE,FALSE,FALSE,,,
Pen Jakke,Pen Jakke,CDS,2000,TRUE,FALSE,FALSE,,,
Petter Smart,Dreamland EP,CD,2000,FALSE,FALSE,FALSE,,,
ScandalNavia Vol. 1,ScandalNavia Vol. 1,CD,2000,FALSE,FALSE,FALSE,,,
ScandalNavia Vol. 1,ScandalNavia Vol. 1,CDS PROMO,2000,TRUE,FALSE,FALSE,,,
So Called Negroes,Oslonian Underdogs,CD,2000,TRUE,FALSE,FALSE,,,
Stress.no/Carhartt,Vol. 1: Big Paulie & Teddy Touch,Mixtape,2000,FALSE,FALSE,FALSE,,,
Stress.no/Carhartt,Vol. 2: Tom & Gordon's Basic Education,Mixtape,2000,FALSE,FALSE,FALSE,,,
The Glamma Life,The Glamma Life/All Anglez,12’’ / CD,2000,FALSE,FALSE,FALSE,,,
Tungtvann,Hoda / Ubudne Gjesta,12’’,2000,FALSE,FALSE,FALSE,,,
Tungtvann,Hold Det Nede,12’’ / CDS / PROMO,2000,FALSE,FALSE,FALSE,,,
Tungtvann,Lappa / 96%,12’’,2000,FALSE,FALSE,FALSE,,,
Tungtvann,Lappa,12’’,2000,TRUE,FALSE,FALSE,,,
Tungtvann,Nord og ned,12’’,2000,TRUE,FALSE,FALSE,,,
